country_code,state_name,Value,county_name,year,asd_code,CV (%),week_ending,watershed_code,country_name,begin_code,short_desc,location_desc,congr_district_code,county_ansi,asd_desc,source_desc,watershed_desc,unit_desc,reference_period_desc,class_desc,prodn_practice_desc,state_fips_code,domain_desc,county_code,freq_desc,agg_level_desc,util_practice_desc,sector_desc,load_time,state_ansi,end_code,group_desc,zip_5,region_desc,domaincat_desc,state_alpha,statisticcat_desc,commodity_desc,value
9000,ALABAMA,203,,2018,,13.4,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",ALABAMA,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,01,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2018-02-01 00:00:00.000,01,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",AL,YIELD,CORN,203.0
9000,ALABAMA,131,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",ALABAMA,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,01,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,01,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",AL,YIELD,CORN,131.0
9000,ARIZONA,214,,2018,,8.4,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",ARIZONA,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,04,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2018-02-01 00:00:00.000,04,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",AZ,YIELD,CORN,214.0
9000,ARIZONA,158,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",ARIZONA,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,04,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,04,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",AZ,YIELD,CORN,158.0
9000,ARKANSAS,185,,2018,,0.6,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",ARKANSAS,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,05,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2018-02-01 00:00:00.000,05,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",AR,YIELD,CORN,185.0
9000,ARKANSAS,190,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",ARKANSAS,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,05,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,05,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",AR,YIELD,CORN,190.0
9000,CALIFORNIA,183,,2018,,1.9,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",CALIFORNIA,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,06,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2018-02-01 00:00:00.000,06,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",CA,YIELD,CORN,183.0
9000,CALIFORNIA,198,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",CALIFORNIA,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,06,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,06,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",CA,YIELD,CORN,198.0
9000,COLORADO,200,,2018,,3.6,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",COLORADO,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,08,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2018-02-01 00:00:00.000,08,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",CO,YIELD,CORN,200.0
9000,COLORADO,164,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",COLORADO,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,08,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,08,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",CO,YIELD,CORN,164.0
9000,FLORIDA,157,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",FLORIDA,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,12,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,12,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",FL,YIELD,CORN,157.0
9000,HAWAII,54,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",HAWAII,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,15,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,15,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",HI,YIELD,CORN,54.0
9000,IDAHO,206,,2018,,5.1,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",IDAHO,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,16,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2018-02-01 00:00:00.000,16,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",ID,YIELD,CORN,206.0
9000,IDAHO,188,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",IDAHO,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,16,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,16,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",ID,YIELD,CORN,188.0
9000,ILLINOIS,180,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",ILLINOIS,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,17,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,17,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",IL,YIELD,CORN,180.0
9000,INDIANA,206,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",INDIANA,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,18,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,18,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",IN,YIELD,CORN,206.0
9000,IOWA,170,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",IOWA,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,19,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,19,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",IA,YIELD,CORN,170.0
9000,KANSAS,174,,2018,,7.9,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",KANSAS,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,20,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2018-02-01 00:00:00.000,20,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",KS,YIELD,CORN,174.0
9000,KANSAS,180,,2013,,,,00000000,UNITED STATES,00,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",KANSAS,,,,CENSUS,,BU / ACRE,YEAR,ALL CLASSES,IRRIGATED,20,"IRRIGATION METHOD, PRIMARY",,ANNUAL,STATE,GRAIN,CROPS,2012-12-31 00:00:00.000,20,00,FIELD CROPS,,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",KS,YIELD,CORN,180.0
